Game_Date,Game_Time,Home_Team,Away_Team,Home_Score,Away_Score,Division,Travel_km,lat_d,lon_d,lat_o,lon_o,Temp,Humidity,Windspeed,Visibility,Precipitation,Cast
28/07/19,14:00,Edinburgh Wolves,Leicester Falcons,47,6,Premiership North,495,55.93187,-3.155042,52.619451,-1.233344,62.7,97.3,12.5,3.8,0.14,rain
28/07/19,14:00,Manchester Titans,Tamworth Phoenix,17,21,Premiership North,154,53.460289,-2.191432,52.485268,-1.702471,58.1,98.2,12.7,6.8,1.37,rain
28/07/19,14:00,Sheffield Giants,Merseyside Nighthawks,22,22,Premiership North,113,53.341299,-1.465504,53.545317,-2.811076,58.0,98.2,10.6,6.9,1.04,rain
21/07/19,14:30,Merseyside Nighthawks,Tamworth Phoenix,6,30,Premiership North,167,53.545317,-2.811076,52.485268,-1.702471,64.6,74.2,17.7,24.3,0.0,partly-cloudy-day
21/07/19,14:00,Leicester Falcons,Manchester Titans,6,38,Premiership North,171,52.619451,-1.233344,53.460289,-2.191432,63.2,73.2,10.9,24.2,0.0,partly-cloudy-day
07/07/19,14:30,Merseyside Nighthawks,Leicester Falcons,50,0,Premiership North,184,53.545317,-2.811076,52.619451,-1.233344,58.6,75.0,10.8,18.3,0.0,clear-day
07/07/19,14:00,Manchester Titans,Sheffield Giants,49,30,Premiership North,75,53.460289,-2.191432,53.341299,-1.465504,57.6,72.9,8.2,16.7,0.0,partly-cloudy-day
06/07/19,15:00,Tamworth Phoenix,Edinburgh Wolves,48,0,Premiership North,470,52.485268,-1.702471,55.93187,-3.155042,52.2,87.8,12.7,13.3,0.56,rain
30/06/19,14:00,Edinburgh Wolves,Manchester Titans,17,6,Premiership North,337,55.93187,-3.155042,53.460289,-2.191432,60.6,80.2,20.8,13.1,0.08,rain
23/06/19,15:00,Manchester Titans,Merseyside Nighthawks,43,30,Premiership North,50,53.460289,-2.191432,53.545317,-2.811076,60.2,75.2,12.8,18.9,0.0,partly-cloudy-day
23/06/19,14:00,Sheffield Giants,Edinburgh Wolves,33,8,Premiership North,415,53.341299,-1.465504,55.93187,-3.155042,58.0,81.8,13.9,14.7,0.0,partly-cloudy-day
23/06/19,13:00,Leicester Falcons,Tamworth Phoenix,7,28,Premiership North,39,52.619451,-1.233344,52.485268,-1.702471,60.6,80.6,11.6,15.0,0.0,partly-cloudy-day
16/06/19,14:30,Leicester Falcons,Edinburgh Wolves,10,0,Premiership North,495,52.619451,-1.233344,55.93187,-3.155042,55.8,81.3,13.4,19.4,0.06,rain
16/06/19,14:30,Merseyside Nighthawks,Sheffield Giants,20,0,Premiership North,113,53.545317,-2.811076,53.341299,-1.465504,56.0,77.7,19.4,22.5,0.08,rain
15/06/19,16:00,Tamworth Phoenix,Manchester Titans,0,21,Premiership North,154,52.485268,-1.702471,53.460289,-2.191432,53.9,83.1,13.4,19.1,0.1,rain
09/06/19,14:00,Edinburgh Wolves,Merseyside Nighthawks,12,33,Premiership North,320,55.93187,-3.155042,53.545317,-2.811076,56.3,78.1,21.4,14.1,0.02,rain
09/06/19,14:00,Sheffield Giants,Leicester Falcons,14,12,Premiership North,98,53.341299,-1.465504,52.619451,-1.233344,54.3,82.0,17.2,12.6,0.09,rain
01/06/19,18:00,Tamworth Phoenix,Leicester Falcons,42,9,Premiership North,39,52.485268,-1.702471,52.619451,-1.233344,44.2,82.9,9.3,11.0,0.0,cloudy
26/05/19,14:00,Manchester Titans,Edinburgh Wolves,14,0,Premiership North,337,53.460289,-2.191432,55.93187,-3.155042,57.9,80.5,20.3,17.7,0.1,rain
25/05/19,16:00,Tamworth Phoenix,Sheffield Giants,22,12,Premiership North,117,52.485268,-1.702471,53.341299,-1.465504,61.2,67.9,10.4,21.5,0.0,partly-cloudy-day
19/05/19,14:30,Merseyside Nighthawks,Manchester Titans,50,33,Premiership North,50,53.545317,-2.811076,53.460289,-2.191432,53.6,82.6,11.3,21.2,0.0,partly-cloudy-day
19/05/19,14:00,Edinburgh Wolves,Tamworth Phoenix,0,50,Premiership North,470,55.93187,-3.155042,52.485268,-1.702471,53.4,86.4,9.9,18.4,0.04,rain
12/05/19,14:30,Merseyside Nighthawks,Edinburgh Wolves,33,14,Premiership North,320,53.545317,-2.811076,55.93187,-3.155042,42.3,85.7,29.9,13.0,0.0,partly-cloudy-day
12/05/19,14:00,Sheffield Giants,Manchester Titans,0,6,Premiership North,75,53.341299,-1.465504,53.460289,-2.191432,36.1,90.9,24.6,10.4,0.0,partly-cloudy-day
05/05/19,16:00,Tamworth Phoenix,Merseyside Nighthawks,34,6,Premiership North,167,52.485268,-1.702471,53.545317,-2.811076,43.4,69.8,9.5,17.7,0.0,partly-cloudy-day
05/05/19,15:00,Manchester Titans,Leicester Falcons,49,16,Premiership North,171,53.460289,-2.191432,52.619451,-1.233344,41.1,72.3,13.2,20.2,0.0,partly-cloudy-day
05/05/19,14:00,Edinburgh Wolves,Sheffield Giants,16,15,Premiership North,415,55.93187,-3.155042,53.341299,-1.465504,42.6,61.2,10.7,13.8,0.0,cloudy
28/04/19,14:00,Leicester Falcons,Merseyside Nighthawks,18,23,Premiership North,184,52.619451,-1.233344,53.545317,-2.811076,45.8,78.1,15.4,17.3,0.04,rain
21/04/19,14:00,Sheffield Giants,Tamworth Phoenix,6,28,Premiership North,117,53.341299,-1.465504,52.485268,-1.702471,59.4,51.1,9.8,10.9,0.0,clear-day
14/04/19,14:00,Leicester Falcons,Sheffield Giants,21,8,Premiership North,98,52.619451,-1.233344,53.341299,-1.465504,33.7,69.8,13.3,17.1,0.0,partly-cloudy-day
28/07/19,14:30,Kent Exiles,Rushmoor Knights,19,0,Premiership South,102,51.418042,0.089663,51.299533,-0.778626,64.3,73.0,13.4,25.0,0.0,partly-cloudy-day
28/07/19,14:00,Bristol Aztecs,London Warriors,0,55,Premiership South,203,51.51264,-2.555479,51.391342,-0.089445,63.1,69.6,14.6,20.7,0.0,partly-cloudy-day
28/07/19,13:30,London Blitz,London Olympians,15,14,Premiership South,25,51.574647,-0.103116,51.458428,0.046926,65.3,70.6,13.9,25.2,0.0,clear-day
21/07/19,15:30,London Blitz,Kent Exiles,42,0,Premiership South,26,51.574647,-0.103116,51.418042,0.089663,65.2,69.0,13.1,25.4,0.0,clear-day
21/07/19,14:00,Bristol Aztecs,Rushmoor Knights,30,0,Premiership South,154,51.51264,-2.555479,51.299533,-0.778626,62.7,77.7,11.6,24.7,0.0,partly-cloudy-day
21/07/19,14:00,London Warriors,London Olympians,58,0,Premiership South,16,51.391342,-0.089445,51.458428,0.046926,63.6,72.8,12.5,26.2,0.0,partly-cloudy-day
07/07/19,15:00,Kent Exiles,London Warriors,0,80,Premiership South,13,51.418042,0.089663,51.391342,-0.089445,61.5,79.2,7.2,15.2,0.12,rain
07/07/19,14:30,London Olympians,Bristol Aztecs,10,11,Premiership South,240,51.458428,0.046926,51.51264,-2.555479,62.1,77.3,7.4,15.4,0.15,rain
30/06/19,14:00,Bristol Aztecs,London Blitz,8,20,Premiership South,195,51.51264,-2.555479,51.574647,-0.103116,62.3,76.0,13.9,18.8,0.0,partly-cloudy-day
