Unnamed: 0,Team_name,PostCode,Lat,Long,geo
0,Aberdeen Roughnecks,AB24 2UL,57.173180,-2.132683,"('57.173180', '-2.132683')"
1,Berkshire Renegades,RG6 6UR,51.440608,-0.947064,"('51.440608', '-0.947064')"
2,Birmingham Bulls,B48 7BD,52.367393,-1.949646,"('52.367393', '-1.949646')"
3,Bournemouth Bobcats,BH10 5HS,50.756072,-1.898676,"('50.756072', '-1.898676')"
4,Bristol Aztecs,BS34 8LP,51.512640,-2.555479,"('51.512640', '-2.555479')"
5,Bury Saints,IP28 8FQ,52.304953,0.497989,"('52.304953', '0.497989')"
6,Cambridgeshire Cats,CB5 8NT,52.209635,0.155796,"('52.209635', '0.155796')"
7,Chester Romans,CH2 2PR,53.210866,-2.867860,"('53.210866', '-2.867860')"
8,Clyde Valley Blackhawks,ML2 0HL,55.772564,-3.933721,"('55.772564', '-3.933721')"
9,Colchester Gladiators,CO2 9RQ,51.868602,0.893180,"('51.868602', '0.893180')"
10,Cornwall Monarchs,TR7 2SL,50.413736,-5.062364,"('50.413736', '-5.062364')"
11,Crewe Railroaders,CW2 8TT,53.098382,-2.479100,"('53.098382', '-2.479100')"
12,Darlington Steam,DL1 5NR,54.509887,-1.564445,"('54.509887', '-1.564445')"
13,DC Presidents,DH3 3SH,54.850611,-1.560006,"('54.850611', '-1.560006')"
14,DC Presidents 2,DH1 3SE,54.767121,-1.558689,"('54.767121', '-1.558689')"
15,Doncaster Mustangs,DN5 8PT,53.532285,-1.158290,"('53.532285', '-1.158290')"
16,Dumfries Hunters,DG1 1PX,55.074524,-3.594655,"('55.074524', '-3.594655')"
17,Dunfermline Kings,KY11 8LW,56.061950,-3.402232,"('56.061950', '-3.402232')"
18,East Essex Sabres,SS7 2TD,51.568320,0.599318,"('51.568320', '0.599318')"
19,East Kent Mavericks,CT4 7AS,51.260933,1.084827,"('51.260933', '1.084827')"
20,East Kilbride Pirates,G46 6EB,55.808665,-4.280777,"('55.808665', '-4.280777')"
21,Edinburgh Wolves,EH16 5LL,55.931870,-3.155042,"('55.931870', '-3.155042')"
22,Essex Spartans,RM15 5JU,51.505368,0.273049,"('51.505368', '0.273049')"
23,Gateshead Senators,NE32 5NJ,54.967108,-1.496677,"('54.967108', '-1.496677')"
24,Glasgow Tigers,G51 1RR,55.849959,-4.307464,"('55.849959', '-4.307464')"
25,Halton Spartans,WA8 7DZ,53.365351,-2.739503,"('53.365351', '-2.739503')"
26,Hastings Conquerors,TN34 3PN,50.867812,0.595539,"('50.867812', '0.595539')"
27,Hereford Stampede,HR4 0PH,52.052265,-2.728049,"('52.052265', '-2.728049')"
28,Hertfordshire Cheetahs,WD17 3BN,51.666586,-0.421136,"('51.666586', '-0.421136')"
29,Highland Stags,IV3 5SS,57.463048,-4.240597,"('57.463048', '-4.240597')"
30,Humber Warhawks,HU4 6XQ,53.737442,-0.410002,"('53.737442', '-0.410002')"
31,Inverclyde Goliaths,PA16 8JX,55.951046,-4.767181,"('55.951046', '-4.767181')"
32,Ipswich Cardinals,IP5 1DG,52.070695,1.208012,"('52.070695', '1.208012')"
33,Jurassic Coast Raptors,DT1 2RY,50.702744,-2.444262,"('50.702744', '-2.444262')"
34,Kent Exiles,BR7 6HF,51.418042,0.089663,"('51.418042', '0.089663')"
35,Kent Exiles 2,BR5 4LG,51.373090,0.114010,"('51.373090', '0.114010')"
36,Kent Exiles 2021,BR4 9BB,51.369641,-0.006776,"('51.369641', '-0.006776')"
37,Knottingley Raiders,WF11 9DE,53.710176,-1.233479,"('53.710176', '-1.233479')"
38,Lancashire Wolverines,PR2 1SG,53.777276,-2.755786,"('53.777276', '-2.755786')"
39,Leeds Bobcats,LS12 4NZ,53.786392,-1.603447,"('53.786392', '-1.603447')"
40,Leicester Falcons,LE3 3PJ,52.619451,-1.233344,"('52.619451', '-1.233344')"
41,Lincolnshire Bombers,LN6 8RY,53.200232,-0.568557,"('53.200232', '-0.568557')"
