Game_Date,Game_Time,Home_Team,Away_Team,Home_Score,Away_Score,Division,Travel_km,lat_d,lon_d,lat_o,lon_o,Temp_home,Humidity_home,Windspeed_home,Visibility_home,Precipitation_home,Cast_home,Game_Result,Total_Score,Temp_away,Humidity_away,Windspeed_away,Visibility_away,Precipitation_away,Cast_away
28/07/19,14:00,Edinburgh Wolves,Leicester Falcons,47,6,Premiership North,495,55.93187,-3.155042,52.619451,-1.233344,62.7,97.3,12.5,3.8,0.14,rain,HW,53,58.2,96.0,12.4,8.6,0.89,rain
28/07/19,14:00,Manchester Titans,Tamworth Phoenix,17,21,Premiership North,154,53.460289,-2.191432,52.485268,-1.702471,58.1,98.2,12.7,6.8,1.37,rain,AW,38,57.9,95.7,11.7,8.4,0.83,rain
28/07/19,14:00,Sheffield Giants,Merseyside Nighthawks,22,22,Premiership North,113,53.341299,-1.465504,53.545317,-2.811076,58.0,98.2,10.6,6.9,1.04,rain,T,44,59.2,94.4,19.3,6.5,0.96,rain
21/07/19,14:30,Merseyside Nighthawks,Tamworth Phoenix,6,30,Premiership North,167,53.545317,-2.811076,52.485268,-1.702471,64.6,74.2,17.7,24.3,0.0,partly-cloudy-day,AW,36,63.6,73.5,12.1,23.5,0.0,partly-cloudy-day
21/07/19,14:00,Leicester Falcons,Manchester Titans,6,38,Premiership North,171,52.619451,-1.233344,53.460289,-2.191432,63.2,73.2,10.9,24.2,0.0,partly-cloudy-day,AW,44,62.8,75.9,13.8,23.9,0.0,partly-cloudy-day
07/07/19,14:30,Merseyside Nighthawks,Leicester Falcons,50,0,Premiership North,184,53.545317,-2.811076,52.619451,-1.233344,58.6,75.0,10.8,18.3,0.0,clear-day,HW,50,60.1,67.4,6.4,21.2,0.0,partly-cloudy-day
07/07/19,14:00,Manchester Titans,Sheffield Giants,49,30,Premiership North,75,53.460289,-2.191432,53.341299,-1.465504,57.6,72.9,8.2,16.7,0.0,partly-cloudy-day,HW,79,57.5,68.7,10.7,17.8,0.0,partly-cloudy-day
06/07/19,15:00,Tamworth Phoenix,Edinburgh Wolves,48,0,Premiership North,470,52.485268,-1.702471,55.93187,-3.155042,52.2,87.8,12.7,13.3,0.56,rain,HW,48,51.2,84.8,15.3,15.4,0.02,rain
30/06/19,14:00,Edinburgh Wolves,Manchester Titans,17,6,Premiership North,337,55.93187,-3.155042,53.460289,-2.191432,60.6,80.2,20.8,13.1,0.08,rain,HW,23,61.8,75.1,15.8,19.3,0.0,partly-cloudy-day
23/06/19,15:00,Manchester Titans,Merseyside Nighthawks,43,30,Premiership North,50,53.460289,-2.191432,53.545317,-2.811076,60.2,75.2,12.8,18.9,0.0,partly-cloudy-day,HW,73,62.3,68.7,12.5,21.3,0.01,rain
23/06/19,14:00,Sheffield Giants,Edinburgh Wolves,33,8,Premiership North,415,53.341299,-1.465504,55.93187,-3.155042,58.0,81.8,13.9,14.7,0.0,partly-cloudy-day,HW,41,57.9,79.9,13.7,12.5,0.0,partly-cloudy-day
23/06/19,13:00,Leicester Falcons,Tamworth Phoenix,7,28,Premiership North,39,52.619451,-1.233344,52.485268,-1.702471,60.6,80.6,11.6,15.0,0.0,partly-cloudy-day,AW,35,61.0,77.2,10.7,13.4,0.0,partly-cloudy-day
16/06/19,14:30,Leicester Falcons,Edinburgh Wolves,10,0,Premiership North,495,52.619451,-1.233344,55.93187,-3.155042,55.8,81.3,13.4,19.4,0.06,rain,HW,10,53.9,73.1,13.5,18.2,0.01,rain
16/06/19,14:30,Merseyside Nighthawks,Sheffield Giants,20,0,Premiership North,113,53.545317,-2.811076,53.341299,-1.465504,56.0,77.7,19.4,22.5,0.08,rain,HW,20,53.4,81.3,17.7,16.4,0.12,rain
15/06/19,16:00,Tamworth Phoenix,Manchester Titans,0,21,Premiership North,154,52.485268,-1.702471,53.460289,-2.191432,53.9,83.1,13.4,19.1,0.1,rain,AW,21,54.0,87.0,13.5,17.5,0.21,rain
