Date,Team,Division,Score,Opponent,Travel_km,Game_Status,Team_Status,Score_Type,Temp,Windspeed,Humidity,Visibility,Precipitation,Cast,Date_day,Total_Score
2019-07-28 14:00:00,Edinburgh Wolves,Premiership North,47,6,0,@ Home,W,Score @ Home,62.7,12.5,97.3,3.8,0.14,rain,2019-07-28,53
2019-06-07 15:00:00,Edinburgh Wolves,Premiership North,0,48,470,@ Away,L,Score @ Away,52.2,12.7,87.8,13.3,0.56,rain,2019-06-07,48
2019-06-30 14:00:00,Edinburgh Wolves,Premiership North,17,6,0,@ Home,W,Score @ Home,60.6,20.8,80.2,13.1,0.08,rain,2019-06-30,23
2019-06-23 14:00:00,Edinburgh Wolves,Premiership North,8,33,415,@ Away,L,Score @ Away,58.0,13.9,81.8,14.7,0.0,partly-cloudy-day,2019-06-23,41
2019-06-16 14:30:00,Edinburgh Wolves,Premiership North,0,10,495,@ Away,L,Score @ Away,55.8,13.4,81.3,19.4,0.06,rain,2019-06-16,10
2019-09-06 14:00:00,Edinburgh Wolves,Premiership North,12,33,0,@ Home,L,Score @ Home,56.3,21.4,78.1,14.1,0.02,rain,2019-09-06,45
2019-05-26 14:00:00,Edinburgh Wolves,Premiership North,0,14,337,@ Away,L,Score @ Away,57.9,20.3,80.5,17.7,0.1,rain,2019-05-26,14
2019-05-19 14:00:00,Edinburgh Wolves,Premiership North,0,50,0,@ Home,L,Score @ Home,53.4,9.9,86.4,18.4,0.04,rain,2019-05-19,50
2019-12-05 14:30:00,Edinburgh Wolves,Premiership North,14,33,320,@ Away,L,Score @ Away,42.3,29.9,85.7,13.0,0.0,partly-cloudy-day,2019-12-05,47
2019-05-05 14:00:00,Edinburgh Wolves,Premiership North,16,15,0,@ Home,W,Score @ Home,42.6,10.7,61.2,13.8,0.0,cloudy,2019-05-05,31
2019-07-28 14:00:00,Manchester Titans,Premiership North,17,21,0,@ Home,L,Score @ Home,58.1,12.7,98.2,6.8,1.37,rain,2019-07-28,38
2019-07-21 14:00:00,Manchester Titans,Premiership North,38,6,171,@ Away,W,Score @ Away,63.2,10.9,73.2,24.2,0.0,partly-cloudy-day,2019-07-21,44
2019-07-07 14:00:00,Manchester Titans,Premiership North,49,30,0,@ Home,W,Score @ Home,57.6,8.2,72.9,16.7,0.0,partly-cloudy-day,2019-07-07,79
2019-06-30 14:00:00,Manchester Titans,Premiership North,6,17,337,@ Away,L,Score @ Away,60.6,20.8,80.2,13.1,0.08,rain,2019-06-30,23
2019-06-23 15:00:00,Manchester Titans,Premiership North,43,30,0,@ Home,W,Score @ Home,60.2,12.8,75.2,18.9,0.0,partly-cloudy-day,2019-06-23,73
2019-06-15 16:00:00,Manchester Titans,Premiership North,21,0,154,@ Away,W,Score @ Away,53.9,13.4,83.1,19.1,0.1,rain,2019-06-15,21
2019-05-26 14:00:00,Manchester Titans,Premiership North,14,0,0,@ Home,W,Score @ Home,57.9,20.3,80.5,17.7,0.1,rain,2019-05-26,14
2019-05-19 14:30:00,Manchester Titans,Premiership North,33,50,50,@ Away,L,Score @ Away,53.6,11.3,82.6,21.2,0.0,partly-cloudy-day,2019-05-19,83
2019-12-05 14:00:00,Manchester Titans,Premiership North,6,0,75,@ Away,W,Score @ Away,36.1,24.6,90.9,10.4,0.0,partly-cloudy-day,2019-12-05,6
2019-05-05 15:00:00,Manchester Titans,Premiership North,49,16,0,@ Home,W,Score @ Home,41.1,13.2,72.3,20.2,0.0,partly-cloudy-day,2019-05-05,65
2019-07-28 14:00:00,Sheffield Giants,Premiership North,22,22,0,@ Home,T,Score @ Home,58.0,10.6,98.2,6.9,1.04,rain,2019-07-28,44
2019-07-07 14:00:00,Sheffield Giants,Premiership North,30,49,75,@ Away,L,Score @ Away,57.6,8.2,72.9,16.7,0.0,partly-cloudy-day,2019-07-07,79
2019-06-23 14:00:00,Sheffield Giants,Premiership North,33,8,0,@ Home,W,Score @ Home,58.0,13.9,81.8,14.7,0.0,partly-cloudy-day,2019-06-23,41
2019-06-16 14:30:00,Sheffield Giants,Premiership North,0,20,113,@ Away,L,Score @ Away,56.0,19.4,77.7,22.5,0.08,rain,2019-06-16,20
2019-09-06 14:00:00,Sheffield Giants,Premiership North,14,12,0,@ Home,W,Score @ Home,54.3,17.2,82.0,12.6,0.09,rain,2019-09-06,26
2019-05-25 16:00:00,Sheffield Giants,Premiership North,12,22,117,@ Away,L,Score @ Away,61.2,10.4,67.9,21.5,0.0,partly-cloudy-day,2019-05-25,34
2019-12-05 14:00:00,Sheffield Giants,Premiership North,0,6,0,@ Home,L,Score @ Home,36.1,24.6,90.9,10.4,0.0,partly-cloudy-day,2019-12-05,6
2019-05-05 14:00:00,Sheffield Giants,Premiership North,15,16,415,@ Away,L,Score @ Away,42.6,10.7,61.2,13.8,0.0,cloudy,2019-05-05,31
2019-04-21 14:00:00,Sheffield Giants,Premiership North,6,28,0,@ Home,L,Score @ Home,59.4,9.8,51.1,10.9,0.0,clear-day,2019-04-21,34
2019-04-14 14:00:00,Sheffield Giants,Premiership North,8,21,98,@ Away,L,Score @ Away,33.7,13.3,69.8,17.1,0.0,partly-cloudy-day,2019-04-14,29
2019-07-28 14:00:00,Merseyside Nighthawks,Premiership North,22,22,113,@ Away,T,Score @ Away,58.0,10.6,98.2,6.9,1.04,rain,2019-07-28,44
2019-07-21 14:30:00,Merseyside Nighthawks,Premiership North,6,30,0,@ Home,L,Score @ Home,64.6,17.7,74.2,24.3,0.0,partly-cloudy-day,2019-07-21,36
2019-07-07 14:30:00,Merseyside Nighthawks,Premiership North,50,0,0,@ Home,W,Score @ Home,58.6,10.8,75.0,18.3,0.0,clear-day,2019-07-07,50
2019-06-23 15:00:00,Merseyside Nighthawks,Premiership North,30,43,50,@ Away,L,Score @ Away,60.2,12.8,75.2,18.9,0.0,partly-cloudy-day,2019-06-23,73
2019-06-16 14:30:00,Merseyside Nighthawks,Premiership North,20,0,0,@ Home,W,Score @ Home,56.0,19.4,77.7,22.5,0.08,rain,2019-06-16,20
2019-09-06 14:00:00,Merseyside Nighthawks,Premiership North,33,12,320,@ Away,W,Score @ Away,56.3,21.4,78.1,14.1,0.02,rain,2019-09-06,45
2019-05-19 14:30:00,Merseyside Nighthawks,Premiership North,50,33,0,@ Home,W,Score @ Home,53.6,11.3,82.6,21.2,0.0,partly-cloudy-day,2019-05-19,83
2019-12-05 14:30:00,Merseyside Nighthawks,Premiership North,33,14,0,@ Home,W,Score @ Home,42.3,29.9,85.7,13.0,0.0,partly-cloudy-day,2019-12-05,47
2019-05-05 16:00:00,Merseyside Nighthawks,Premiership North,6,34,167,@ Away,L,Score @ Away,43.4,9.5,69.8,17.7,0.0,partly-cloudy-day,2019-05-05,40
2019-04-28 14:00:00,Merseyside Nighthawks,Premiership North,23,18,184,@ Away,W,Score @ Away,45.8,15.4,78.1,17.3,0.04,rain,2019-04-28,41
2019-07-28 14:00:00,Leicester Falcons,Premiership North,6,47,495,@ Away,L,Score @ Away,62.7,12.5,97.3,3.8,0.14,rain,2019-07-28,53
2019-07-21 14:00:00,Leicester Falcons,Premiership North,6,38,0,@ Home,L,Score @ Home,63.2,10.9,73.2,24.2,0.0,partly-cloudy-day,2019-07-21,44
2019-07-07 14:30:00,Leicester Falcons,Premiership North,0,50,184,@ Away,L,Score @ Away,58.6,10.8,75.0,18.3,0.0,clear-day,2019-07-07,50
2019-06-23 13:00:00,Leicester Falcons,Premiership North,7,28,0,@ Home,L,Score @ Home,60.6,11.6,80.6,15.0,0.0,partly-cloudy-day,2019-06-23,35
2019-06-16 14:30:00,Leicester Falcons,Premiership North,10,0,0,@ Home,W,Score @ Home,55.8,13.4,81.3,19.4,0.06,rain,2019-06-16,10
2019-09-06 14:00:00,Leicester Falcons,Premiership North,12,14,98,@ Away,L,Score @ Away,54.3,17.2,82.0,12.6,0.09,rain,2019-09-06,26
2019-01-06 18:00:00,Leicester Falcons,Premiership North,9,42,39,@ Away,L,Score @ Away,44.2,9.3,82.9,11.0,0.0,cloudy,2019-01-06,51
2019-05-05 15:00:00,Leicester Falcons,Premiership North,16,49,171,@ Away,L,Score @ Away,41.1,13.2,72.3,20.2,0.0,partly-cloudy-day,2019-05-05,65
2019-04-28 14:00:00,Leicester Falcons,Premiership North,18,23,0,@ Home,L,Score @ Home,45.8,15.4,78.1,17.3,0.04,rain,2019-04-28,41
2019-04-14 14:00:00,Leicester Falcons,Premiership North,21,8,0,@ Home,W,Score @ Home,33.7,13.3,69.8,17.1,0.0,partly-cloudy-day,2019-04-14,29
2019-07-28 14:00:00,Tamworth Phoenix,Premiership North,21,17,154,@ Away,W,Score @ Away,58.1,12.7,98.2,6.8,1.37,rain,2019-07-28,38
2019-07-21 14:30:00,Tamworth Phoenix,Premiership North,30,6,167,@ Away,W,Score @ Away,64.6,17.7,74.2,24.3,0.0,partly-cloudy-day,2019-07-21,36
2019-06-07 15:00:00,Tamworth Phoenix,Premiership North,48,0,0,@ Home,W,Score @ Home,52.2,12.7,87.8,13.3,0.56,rain,2019-06-07,48
2019-06-23 13:00:00,Tamworth Phoenix,Premiership North,28,7,39,@ Away,W,Score @ Away,60.6,11.6,80.6,15.0,0.0,partly-cloudy-day,2019-06-23,35
2019-06-15 16:00:00,Tamworth Phoenix,Premiership North,0,21,0,@ Home,L,Score @ Home,53.9,13.4,83.1,19.1,0.1,rain,2019-06-15,21
2019-01-06 18:00:00,Tamworth Phoenix,Premiership North,42,9,0,@ Home,W,Score @ Home,44.2,9.3,82.9,11.0,0.0,cloudy,2019-01-06,51
2019-05-25 16:00:00,Tamworth Phoenix,Premiership North,22,12,0,@ Home,W,Score @ Home,61.2,10.4,67.9,21.5,0.0,partly-cloudy-day,2019-05-25,34
2019-05-19 14:00:00,Tamworth Phoenix,Premiership North,50,0,470,@ Away,W,Score @ Away,53.4,9.9,86.4,18.4,0.04,rain,2019-05-19,50
2019-05-05 16:00:00,Tamworth Phoenix,Premiership North,34,6,0,@ Home,W,Score @ Home,43.4,9.5,69.8,17.7,0.0,partly-cloudy-day,2019-05-05,40
2019-04-21 14:00:00,Tamworth Phoenix,Premiership North,28,6,117,@ Away,W,Score @ Away,59.4,9.8,51.1,10.9,0.0,clear-day,2019-04-21,34
2019-07-28 14:30:00,Kent Exiles,Premiership South,19,0,0,@ Home,W,Score @ Home,64.3,13.4,73.0,25.0,0.0,partly-cloudy-day,2019-07-28,19
2019-07-21 15:30:00,Kent Exiles,Premiership South,0,42,26,@ Away,L,Score @ Away,65.2,13.1,69.0,25.4,0.0,clear-day,2019-07-21,42
2019-07-07 15:00:00,Kent Exiles,Premiership South,0,80,0,@ Home,L,Score @ Home,61.5,7.2,79.2,15.2,0.12,rain,2019-07-07,80
2019-06-30 14:00:00,Kent Exiles,Premiership South,8,28,0,@ Home,L,Score @ Home,66.8,13.7,67.8,18.5,0.0,clear-day,2019-06-30,36
2019-06-23 15:00:00,Kent Exiles,Premiership South,17,12,0,@ Home,W,Score @ Home,64.0,11.0,74.4,14.4,0.0,partly-cloudy-day,2019-06-23,29
2019-06-16 14:00:00,Kent Exiles,Premiership South,13,28,102,@ Away,L,Score @ Away,57.2,20.6,83.3,17.8,0.03,rain,2019-06-16,41
2019-05-26 14:00:00,Kent Exiles,Premiership South,6,71,13,@ Away,L,Score @ Away,61.8,15.0,75.3,25.6,0.01,rain,2019-05-26,77
2019-05-19 14:00:00,Kent Exiles,Premiership South,7,42,0,@ Home,L,Score @ Home,55.5,6.2,79.2,7.0,0.0,partly-cloudy-day,2019-05-19,49
2019-12-05 14:00:00,Kent Exiles,Premiership South,9,0,238,@ Away,W,Score @ Away,36.8,15.1,92.4,8.5,0.0,partly-cloudy-day,2019-12-05,9
2019-05-05 14:30:00,Kent Exiles,Premiership South,23,33,4,@ Away,L,Score @ Away,43.6,10.3,61.6,18.7,0.01,rain,2019-05-05,56
